Type,LineNumber,ImageNumber,FullTag
BEFORE,176,image10,![][image10]
BEFORE,179,image11,![][image11]
BEFORE,182,image5,![][image5]
BEFORE,185,image1,![][image1]
BEFORE,188,image13,![][image13]
BEFORE,191,image15,![][image15]
BEFORE,193,image12,![][image12]
BEFORE,195,image4,![][image4]
BEFORE,198,image5,![][image5]
BEFORE,368,image6,![][image6]
BEFORE,437,image7,![][image7]
BEFORE,470,image8,![][image8]
BEFORE,637,image9,![][image9]
BEFORE,672,image10,![][image10]
BEFORE,781,image6,![][image6]
BEFORE,880,image11,![][image11]
BEFORE,915,image12,![][image12]
BEFORE,949,image13,![][image13]
BEFORE,1002,image14,![][image14]
BEFORE,1152,image15,![][image15]
BEFORE,1157,image16,![][image16]
BEFORE,1218,image17,![][image17]
BEFORE,1218,image18,![][image18]
BEFORE,1281,image19,![][image19]
AFTER,176,image10,![][image10]
AFTER,179,image11,![][image11]
AFTER,182,image5,![][image5]
AFTER,185,image1,![][image1]
AFTER,188,image13,![][image13]
AFTER,191,image15,![][image15]
AFTER,193,image12,![][image12]
AFTER,195,image4,![][image4]
AFTER,198,image5,![][image5]
AFTER,368,image6,![][image6]
AFTER,437,image7,![][image7]
AFTER,470,image8,![][image8]
AFTER,637,image9,![][image9]
AFTER,672,image10,![][image10]
AFTER,781,image6,![][image6]
AFTER,880,image11,![][image11]
AFTER,915,image12,![][image12]
AFTER,949,image13,![][image13]
AFTER,1002,image14,![][image14]
AFTER,1152,image15,![][image15]
AFTER,1157,image16,![][image16]
AFTER,1218,image17,![][image17]
AFTER,1218,image18,![][image18]
AFTER,1281,image19,![][image19]
